W,num_stas,npca_qsrc,npca_cw,seed,collision_probability_npca,aggregate_throughput,mean_access_delay,npca_transition_count
80,30,2,63,42,0.38676844783715014,1339,910.3973114264377,9749
80,30,2,63,123,0.3741636644364385,1333,924.0435108777194,9779
80,30,2,63,456,0.38257173219978746,1284,932.4322429906542,9390
80,30,3,127,42,0.22120141342756183,1284,1033.5280373831777,10005
80,30,3,127,123,0.22322775263951736,1224,1047.016339869281,9464
80,30,3,127,456,0.20781134856300662,1267,1021.9155485398579,9765
80,30,4,255,42,0.07444168734491315,1055,1254.137440758294,6017
80,30,4,255,123,0.06799531066822978,1079,1239.3336422613531,6481
80,30,4,255,456,0.08373786407766991,1006,1315.641153081511,6338
80,30,5,511,42,0.021917808219178082,816,1556.4742647058824,3459
80,30,5,511,123,0.02493765586034913,857,1533.637106184364,3655
80,30,5,511,456,0.02318840579710145,814,1585.8292383292383,3461
80,50,0,15,42,0.9633916013662849,1156,291.39446366782005,15500
80,50,0,15,123,0.9631686528597323,1152,282.7282986111111,16150
80,50,0,15,456,0.962635628329059,1148,279.08710801393727,16000
80,50,1,31,42,0.817606359487708,1285,831.3626459143969,16500
80,50,1,31,123,0.8249788791889608,1248,826.0088141025641,16750
80,50,1,31,456,0.8175707362826324,1278,812.1197183098592,15650
80,50,2,63,42,0.5685583362707085,1330,1305.6015037593984,15950
80,50,2,63,123,0.5707717569786536,1278,1297.6909233176839,16900
80,50,2,63,456,0.5569297926518734,1307,1295.025248661056,15800
80,50,3,127,42,0.34030837004405284,1292,1568.8978328173375,16685
80,50,3,127,123,0.33470830878020036,1240,1546.3903225806453,15539
80,50,3,127,456,0.3492711370262391,1200,1544.7283333333332,15536
80,50,4,255,42,0.13516068052930058,1139,1855.85601404741,10838
80,50,4,255,123,0.12173913043478261,1110,1884.9891891891891,10724
80,50,4,255,456,0.13594040968342644,1081,1952.8695652173913,11209
80,50,5,511,42,0.05172413793103448,925,2242.388108108108,6778
80,50,5,511,123,0.030821917808219176,922,2264.5932754880696,6630
80,50,5,511,456,0.04537521815008726,878,2292.0751708428247,6963
120,10,0,15,42,0.526984126984127,1365,270.3699633699634,2170
120,10,0,15,123,0.5255591054313099,1381,262.70094134685013,2150
120,10,0,15,456,0.5363307908470494,1330,270.2706766917293,2110
120,10,1,31,42,0.2870662460567823,1350,294.1318518518519,2180
120,10,1,31,123,0.29812054439403757,1335,286.9737827715356,2110
120,10,1,31,456,0.3040410519563823,1280,313.32265625,2110
120,10,2,63,42,0.14428690575479566,1252,326.89696485623006,2180
120,10,2,63,123,0.16257408975444537,1271,317.44767899291895,2100
120,10,2,63,456,0.1707920792079208,1220,338.78934426229506,2140
120,10,3,127,42,0.08517699115044247,1119,381.2260947274352,2170
120,10,3,127,123,0.08208955223880597,1132,369.3939929328622,2240
120,10,3,127,456,0.0757918552036199,1094,383.50822669104207,2140
120,10,4,255,42,0.0196078431372549,889,481.384701912261,1643
120,10,4,255,123,0.03776978417266187,895,483.97206703910615,1701
120,10,4,255,456,0.024439918533604887,935,455.7625668449198,1520
120,10,5,511,42,0.011235955056179775,697,640.6743185078909,772
120,10,5,511,123,0.013333333333333334,655,667.0854961832061,735
120,10,5,511,456,0.027972027972027972,687,616.056768558952,706
120,20,0,15,42,0.7833044148833622,1308,389.9717125382263,4220
120,20,0,15,123,0.7825839499146272,1322,365.31921331316187,4300
120,20,0,15,456,0.7793159609120521,1263,395.215360253365,4000
120,20,1,31,42,0.5031030202730657,1286,554.6205287713841,4420
120,20,1,31,123,0.519185591229444,1325,529.062641509434,4480
120,20,1,31,456,0.5342881944444444,1288,566.8742236024844,3980
120,20,2,63,42,0.2935064935064935,1252,655.4832268370607,4340
120,20,2,63,123,0.29562982005141386,1239,662.8813559322034,4300
120,20,2,63,456,0.28512396694214875,1243,661.232502011263,4060
120,20,3,127,42,0.16597164303586323,1148,733.8893728222996,4400
120,20,3,127,123,0.17166666666666666,1176,725.7525510204082,4340
120,20,3,127,456,0.13055555555555556,1209,722.4259718775847,4100
120,20,4,255,42,0.06435006435006435,1031,836.0756547041707,3461
120,20,4,255,123,0.08891454965357967,1026,826.6520467836257,3739
120,20,4,255,456,0.07301173402868318,1041,840.297790585975,3407
120,20,5,511,42,0.03592814371257485,771,1107.7418936446174,2028
120,20,5,511,123,0.02476780185758514,788,1107.8718274111675,1723
120,20,5,511,456,0.02112676056338028,807,1060.6468401486989,1525
120,30,0,15,42,0.8850145288501453,1237,366.68067906224735,6600
120,30,0,15,123,0.886033982594281,1184,373.6258445945946,6540
120,30,0,15,456,0.8842464998346379,1211,389.97853014037986,6240
120,30,1,31,42,0.6469638242894057,1264,737.9224683544304,5940
120,30,1,31,123,0.6606936416184971,1270,735.863779527559,6420
120,30,1,31,456,0.6547475961538461,1315,738.5034220532319,6270
120,30,2,63,42,0.4055323590814196,1282,918.1848673946957,6480
120,30,2,63,123,0.40010272213662046,1282,966.5109204368175,6630
120,30,2,63,456,0.382921589688507,1244,930.8898713826367,6510
120,30,3,127,42,0.21428571428571427,1211,1053.8340214698596,6300
120,30,3,127,123,0.23507737656595432,1210,1045.895867768595,6389
120,30,3,127,456,0.23897581792318634,1182,1062.5516074450084,6540
120,30,4,255,42,0.09694415173867228,1069,1190.4059869036482,5491
120,30,4,255,123,0.11428571428571428,1085,1176.164055299539,5498
120,30,4,255,456,0.10810810810810811,1064,1184.6522556390978,5502
120,30,5,511,42,0.004618937644341801,845,1479.676923076923,2824
120,30,5,511,123,0.04205607476635514,843,1529.7864768683273,2702
120,30,5,511,456,0.019230769230769232,847,1546.8642266824086,2767
120,50,0,15,42,0.9531756397233107,1203,323.0798004987531,10400
120,50,0,15,123,0.9539444796799532,1150,335.0182608695652,10250
120,50,0,15,456,0.9531423290203327,1146,312.4214659685864,10900
120,50,1,31,42,0.8400518283904406,1223,826.4513491414555,10650
120,50,1,31,123,0.8403688229361763,1186,786.2588532883642,10550
120,50,1,31,456,0.8393913778529163,1163,768.7420464316423,10800
120,50,2,63,42,0.5556840077071291,1235,1386.8882591093118,10550
120,50,2,63,123,0.5853224082650517,1204,1351.735049833887,10650
120,50,2,63,456,0.5704650337238196,1233,1344.3130575831306,11100
120,50,3,127,42,0.3327239488117002,1231,1617.1161657189277,10600
