episode,method,run,obss_duration,throughput,avg_option_duration,reward,avg_loss,epsilon,npca_ratio,throughput_weight,latency_penalty,npca_switch_bonus,npca_switch_cost,qos_priority
183,Rule-based,2,100,16458,1394.0,21.299999999999997,0.0,,0.0,,,,,
184,Rule-based,2,100,18467,0.0,0.0,0.0,,0.0,,,,,
185,Rule-based,2,100,16415,606.4,555.8,0.0,,0.0,,,,,
186,Rule-based,2,100,17029,446.6818181818182,661.65,0.0,,0.0,,,,,
187,Rule-based,2,100,15937,655.3658536585366,3073.5,0.0,,0.0,,,,,
188,Rule-based,2,100,18063,516.5,693.75,0.0,,0.0,,,,,
189,Rule-based,2,100,18843,0.0,0.0,0.0,,0.0,,,,,
190,Rule-based,2,100,16510,600.7,756.65,0.0,,0.0,,,,,
191,Rule-based,2,100,16390,561.1333333333333,2489.3,0.0,,0.0,,,,,
192,Rule-based,2,100,15648,620.0,1324.9999999999998,0.0,,0.0,,,,,
193,Rule-based,2,100,17635,434.3,543.85,0.0,,0.0,,,,,
194,Rule-based,2,100,15900,688.0869565217391,1247.7,0.0,,0.0,,,,,
195,Rule-based,2,100,15543,740.8571428571429,1696.1,0.0,,0.0,,,,,
196,Rule-based,2,100,16184,443.7,423.15,0.0,,0.0,,,,,
197,Rule-based,2,100,17750,390.9,387.55,0.0,,0.0,,,,,
198,Rule-based,2,100,17150,0.0,0.0,0.0,,0.0,,,,,
199,Rule-based,2,100,16474,864.6666666666666,1136.5,0.0,,0.0,,,,,
200,Rule-based,2,100,17707,649.0,1674.9999999999998,0.0,,0.0,,,,,
201,Rule-based,2,100,17776,735.4,743.3,0.0,,0.0,,,,,
202,Rule-based,2,100,18263,682.3636363636364,652.6999999999999,0.0,,0.0,,,,,
203,Rule-based,2,100,17187,0.0,0.0,0.0,,0.0,,,,,
204,Rule-based,2,100,17710,407.3636363636364,720.9500000000002,0.0,,0.0,,,,,
205,Rule-based,2,100,17182,613.0,654.8499999999999,0.0,,0.0,,,,,
206,Rule-based,2,100,15875,743.84,1818.1999999999998,0.0,,0.0,,,,,
207,Rule-based,2,100,17588,456.84615384615387,1492.1,0.0,,0.0,,,,,
208,Rule-based,2,100,18187,564.1666666666666,746.4999999999999,0.0,,0.0,,,,,
209,Rule-based,2,100,17762,550.0,1298.5,0.0,,0.0,,,,,
210,Rule-based,2,100,17492,274.94736842105266,2054.8,0.0,,0.0,,,,,
211,Rule-based,2,100,16519,695.4166666666666,806.75,0.0,,0.0,,,,,
212,Rule-based,2,100,19290,0.0,0.0,0.0,,0.0,,,,,
213,Rule-based,2,100,15547,768.2631578947369,1897.15,0.0,,0.0,,,,,
214,Rule-based,2,100,15925,436.34285714285716,2544.4,0.0,,0.0,,,,,
215,Rule-based,2,100,16487,581.9230769230769,563.75,0.0,,0.0,,,,,
216,Rule-based,2,100,16352,612.2,1268.6999999999998,0.0,,0.0,,,,,
217,Rule-based,2,100,17446,648.5454545454545,563.3000000000001,0.0,,0.0,,,,,
218,Rule-based,2,100,15959,675.5,611.25,0.0,,0.0,,,,,
219,Rule-based,2,100,18059,781.2857142857143,556.1,0.0,,0.0,,,,,
220,Rule-based,2,100,17624,653.5,1395.15,0.0,,0.0,,,,,
221,Rule-based,2,100,16782,857.0,31.15,0.0,,0.0,,,,,
222,Rule-based,2,100,17721,642.25,1780.75,0.0,,0.0,,,,,
223,Rule-based,2,100,15779,532.0,291.4,0.0,,0.0,,,,,
224,Rule-based,2,100,17564,812.7894736842105,1328.85,0.0,,0.0,,,,,
225,Rule-based,2,100,17999,477.3636363636364,504.44999999999993,0.0,,0.0,,,,,
226,Rule-based,2,100,16966,529.5909090909091,2407.4499999999994,0.0,,0.0,,,,,
227,Rule-based,2,100,16617,657.45,1639.55,0.0,,0.0,,,,,
228,Rule-based,2,100,16100,541.5833333333334,795.1,0.0,,0.0,,,,,
229,Rule-based,2,100,17400,312.9,1182.55,0.0,,0.0,,,,,
230,Rule-based,2,100,16221,663.25,1600.7999999999997,0.0,,0.0,,,,,
231,Rule-based,2,100,16803,503.3333333333333,681.5,0.0,,0.0,,,,,
232,Rule-based,2,100,17377,771.7272727272727,693.55,0.0,,0.0,,,,,
233,Rule-based,2,100,16406,2344.0,-52.2,0.0,,0.0,,,,,
234,Rule-based,2,100,17900,545.0,700.2499999999999,0.0,,0.0,,,,,
235,Rule-based,2,100,15750,790.0909090909091,612.45,0.0,,0.0,,,,,
236,Rule-based,2,100,16944,93.54545454545455,1036.55,0.0,,0.0,,,,,
237,Rule-based,2,100,17510,0.0,0.0,0.0,,0.0,,,,,
238,Rule-based,2,100,17003,655.45,1208.5500000000002,0.0,,0.0,,,,,
239,Rule-based,2,100,17103,494.55555555555554,791.45,0.0,,0.0,,,,,
240,Rule-based,2,100,17908,756.5238095238095,1274.65,0.0,,0.0,,,,,
241,Rule-based,2,100,17172,532.9,846.55,0.0,,0.0,,,,,
242,Rule-based,2,100,15577,597.3333333333334,1056.8,0.0,,0.0,,,,,
243,Rule-based,2,100,16920,561.75,1582.2499999999998,0.0,,0.0,,,,,
244,Rule-based,2,100,17223,507.3333333333333,2095.0,0.0,,0.0,,,,,
245,Rule-based,2,100,18878,590.0909090909091,984.4499999999999,0.0,,0.0,,,,,
246,Rule-based,2,100,15813,692.3636363636364,1028.2,0.0,,0.0,,,,,
247,Rule-based,2,100,15776,531.25,1691.75,0.0,,0.0,,,,,
248,Rule-based,2,100,17554,572.6153846153846,784.8000000000001,0.0,,0.0,,,,,
249,Rule-based,2,100,17496,385.5,461.8,0.0,,0.0,,,,,
250,Rule-based,2,100,15264,656.578947368421,1467.2500000000002,0.0,,0.0,,,,,
251,Rule-based,2,100,17579,485.0,18.75,0.0,,0.0,,,,,
252,Rule-based,2,100,17160,457.90909090909093,479.15,0.0,,0.0,,,,,
253,Rule-based,2,100,17357,0.0,0.0,0.0,,0.0,,,,,
254,Rule-based,2,100,15151,734.1363636363636,1908.45,0.0,,0.0,,,,,
255,Rule-based,2,100,15946,780.5,587.7499999999999,0.0,,0.0,,,,,
256,Rule-based,2,100,15933,652.1904761904761,1158.2,0.0,,0.0,,,,,
257,Rule-based,2,100,16782,781.7,998.1500000000001,0.0,,0.0,,,,,
258,Rule-based,2,100,16986,571.8888888888889,1055.3,0.0,,0.0,,,,,
259,Rule-based,2,100,16757,0.0,0.0,0.0,,0.0,,,,,
260,Rule-based,2,100,15609,565.8076923076923,2534.9,0.0,,0.0,,,,,
261,Rule-based,2,100,15545,1468.0,84.19999999999999,0.0,,0.0,,,,,
262,Rule-based,2,100,18024,623.7,865.15,0.0,,0.0,,,,,
263,Rule-based,2,100,17426,325.2857142857143,311.2999999999999,0.0,,0.0,,,,,
264,Rule-based,2,100,15612,615.8709677419355,2063.3999999999996,0.0,,0.0,,,,,
265,Rule-based,2,100,17490,534.9,692.55,0.0,,0.0,,,,,
266,Rule-based,2,100,16614,673.2857142857143,3402.1,0.0,,0.0,,,,,
267,Rule-based,2,100,17237,875.8,765.1000000000001,0.0,,0.0,,,,,
268,Rule-based,2,100,18550,717.3,510.35,0.0,,0.0,,,,,
269,Rule-based,2,100,16541,791.7307692307693,1802.75,0.0,,0.0,,,,,
270,Rule-based,2,100,18383,494.2,512.8999999999999,0.0,,0.0,,,,,
271,Rule-based,2,100,15920,725.0,1928.75,0.0,,0.0,,,,,
272,Rule-based,2,100,16044,732.975,3134.0499999999997,0.0,,0.0,,,,,
273,Rule-based,2,100,16032,600.1818181818181,889.9000000000001,0.0,,0.0,,,,,
274,Rule-based,2,100,17189,238.7,1342.3000000000002,0.0,,0.0,,,,,
275,Rule-based,2,100,17079,613.6222222222223,2549.35,0.0,,0.0,,,,,
276,Rule-based,2,100,16591,0.0,0.0,0.0,,0.0,,,,,
277,Rule-based,2,100,16618,668.4,891.8,0.0,,0.0,,,,,
278,Rule-based,2,100,17125,284.2,123.84999999999998,0.0,,0.0,,,,,
279,Rule-based,2,100,17436,777.5833333333334,748.45,0.0,,0.0,,,,,
280,Rule-based,2,100,16612,573.3846153846154,426.3,0.0,,0.0,,,,,
281,Rule-based,2,100,17007,600.5833333333334,1039.3,0.0,,0.0,,,,,
282,Rule-based,2,100,17605,709.0833333333334,710.55,0.0,,0.0,,,,,
283,Rule-based,2,100,15793,682.3589743589744,2545.4000000000005,0.0,,0.0,,,,,
284,Rule-based,2,100,16185,304.42857142857144,792.3500000000001,0.0,,0.0,,,,,
285,Rule-based,2,100,17036,727.3,787.35,0.0,,0.0,,,,,
286,Rule-based,2,100,16230,563.2,1726.8,0.0,,0.0,,,,,
287,Rule-based,2,100,16919,548.05,1089.95,0.0,,0.0,,,,,
288,Rule-based,2,100,16840,750.4,748.8,0.0,,0.0,,,,,
289,Rule-based,2,100,17370,663.0,569.4999999999999,0.0,,0.0,,,,,
290,Rule-based,2,100,17121,695.6,755.1999999999999,0.0,,0.0,,,,,
291,Rule-based,2,100,15439,0.0,0.0,0.0,,0.0,,,,,
292,Rule-based,2,100,16052,641.3,1734.05,0.0,,0.0,,,,,
293,Rule-based,2,100,15965,616.8,617.6,0.0,,0.0,,,,,
294,Rule-based,2,100,16894,0.0,0.0,0.0,,0.0,,,,,
295,Rule-based,2,100,17119,492.22222222222223,591.5,0.0,,0.0,,,,,
296,Rule-based,2,100,15303,628.952380952381,1431.6,0.0,,0.0,,,,,
297,Rule-based,2,100,17608,684.483870967742,2113.0499999999997,0.0,,0.0,,,,,
298,Rule-based,2,100,17570,676.0,64.19999999999999,0.0,,0.0,,,,,
299,Rule-based,2,100,16057,487.5,1997.7499999999998,0.0,,0.0,,,,,
300,Rule-based,2,100,17154,676.4,1086.8,0.0,,0.0,,,,,
301,Rule-based,2,100,16784,598.0,62.099999999999994,0.0,,0.0,,,,,
302,Rule-based,2,100,16924,628.6,1367.5499999999997,0.0,,0.0,,,,,
303,Rule-based,2,100,15169,611.5833333333334,1019.05,0.0,,0.0,,,,,
304,Rule-based,2,100,17972,700.0909090909091,837.95,0.0,,0.0,,,,,
305,Rule-based,2,100,17509,170.0,24.5,0.0,,0.0,,,,,
306,Rule-based,2,100,17415,594.2727272727273,663.15,0.0,,0.0,,,,,
307,Rule-based,2,100,16795,1119.0,-111.9,0.0,,0.0,,,,,
308,Rule-based,2,100,17195,799.9285714285714,568.0500000000001,0.0,,0.0,,,,,
309,Rule-based,2,100,15587,599.9090909090909,1095.1,0.0,,0.0,,,,,
310,Rule-based,2,100,16250,582.1111111111111,5064.400000000001,0.0,,0.0,,,,,
311,Rule-based,2,100,17813,532.1935483870968,2256.1000000000004,0.0,,0.0,,,,,
312,Rule-based,2,100,17479,563.1,720.4499999999999,0.0,,0.0,,,,,
313,Rule-based,2,100,17140,442.93548387096774,2575.4500000000003,0.0,,0.0,,,,,
314,Rule-based,2,100,15902,2358.0,-33.900000000000006,0.0,,0.0,,,,,
315,Rule-based,2,100,15209,574.65,1593.3500000000004,0.0,,0.0,,,,,
316,Rule-based,2,100,16514,1233.6666666666667,-20.05000000000001,0.0,,0.0,,,,,
317,Rule-based,2,100,16622,603.3,685.3499999999999,0.0,,0.0,,,,,
318,Rule-based,2,100,15645,461.1904761904762,1558.7500000000002,0.0,,0.0,,,,,
319,Rule-based,2,100,18477,550.7,778.6500000000001,0.0,,0.0,,,,,
320,Rule-based,2,100,16974,610.4,775.8,0.0,,0.0,,,,,
321,Rule-based,2,100,15620,735.0588235294117,2064.4,0.0,,0.0,,,,,
322,Rule-based,2,100,15973,602.75,787.25,0.0,,0.0,,,,,
