part,tier,W,ppdu_duration,W_avail,K,num_stas,npca_qsrc,npca_cw,seed,collision_probability_npca,aggregate_throughput,mean_access_delay,npca_transition_count,avg_tx_per_visit
1,,120,20,100,5.0,30,2,63,42,0.4055323590814196,1282,918.1848673946957,6480,0.295679012345679
1,,120,20,100,5.0,30,2,63,123,0.40010272213662046,1282,966.5109204368175,6630,0.29366515837104074
1,,120,20,100,5.0,30,2,63,456,0.382921589688507,1244,930.8898713826367,6510,0.2860215053763441
1,,120,20,100,5.0,30,3,127,42,0.21428571428571427,1211,1053.8340214698596,6300,0.2088888888888889
1,,120,20,100,5.0,30,3,127,123,0.23507737656595432,1210,1045.895867768595,6389,0.21239630615119737
1,,120,20,100,5.0,30,3,127,456,0.23897581792318634,1182,1062.5516074450084,6540,0.21498470948012233
1,,120,20,100,5.0,30,4,255,42,0.09694415173867228,1069,1190.4059869036482,5491,0.17282826443270807
1,,120,20,100,5.0,30,4,255,123,0.11428571428571428,1085,1176.164055299539,5498,0.17824663514005093
1,,120,20,100,5.0,30,4,255,456,0.10810810810810811,1064,1184.6522556390978,5502,0.17484551072337332
1,,120,20,100,5.0,30,5,511,42,0.004618937644341801,845,1479.676923076923,2824,0.153328611898017
1,,120,20,100,5.0,30,5,511,123,0.04205607476635514,843,1529.7864768683273,2702,0.15840118430792005
1,,120,20,100,5.0,30,5,511,456,0.019230769230769232,847,1546.8642266824086,2767,0.1503433321286592
1,,170,20,150,7.5,30,0,15,42,0.8606316327835315,1209,442.57899090157156,4440,1.7614864864864865
1,,170,20,150,7.5,30,0,15,123,0.8649068322981367,1205,410.84066390041494,4290,1.8013986013986014
1,,170,20,150,7.5,30,0,15,456,0.8651219512195122,1215,413.78765432098766,4560,1.7982456140350878
1,,170,20,150,7.5,30,1,31,42,0.6717428087986463,1275,690.6407843137255,4530,0.7827814569536424
1,,170,20,150,7.5,30,1,31,123,0.6672144617912901,1208,745.6920529801324,4680,0.7801282051282051
1,,170,20,150,7.5,30,1,31,456,0.6886026323158779,1252,694.9129392971246,4320,0.8266203703703704
1,,170,20,150,7.5,30,2,63,42,0.40599455040871935,1276,898.5681818181819,4320,0.42476851851851855
1,,170,20,150,7.5,30,2,63,123,0.4065540194572453,1226,903.1231647634584,4620,0.42272727272727273
1,,170,20,150,7.5,30,2,63,456,0.39834710743801655,1219,892.9581624282199,4350,0.41724137931034483
1,,170,20,150,7.5,30,3,127,42,0.22263313609467456,1208,1017.3170529801324,4589,0.29461756373937675
1,,170,20,150,7.5,30,3,127,123,0.25453277545327757,1173,1008.541346973572,4650,0.30838709677419357
1,,170,20,150,7.5,30,3,127,456,0.2198581560283688,1185,1017.6075949367089,4260,0.29788732394366196
1,,170,20,150,7.5,30,4,255,42,0.12727272727272726,1120,1111.6625,4380,0.22602739726027396
1,,170,20,150,7.5,30,4,255,123,0.1396917148362235,1083,1167.1985226223453,4530,0.22913907284768212
1,,170,20,150,7.5,30,4,255,456,0.13213213213213212,1091,1113.7323556370302,4440,0.225
1,,170,20,150,7.5,30,5,511,42,0.027184466019417475,839,1536.470798569726,2431,0.21184697655285892
1,,170,20,150,7.5,30,5,511,123,0.062385321100917435,859,1444.6484284051223,2524,0.2159270998415214
1,,170,20,150,7.5,30,5,511,456,0.04421052631578947,862,1451.6647331786544,2331,0.20377520377520378
1,,230,20,210,10.5,30,0,15,42,0.846229878565377,1210,456.20413223140497,3300,2.146060606060606
1,,230,20,210,10.5,30,0,15,123,0.8478726251003479,1191,409.7774979009236,3420,2.1853801169590645
1,,230,20,210,10.5,30,0,15,456,0.8500069185000692,1197,448.968253968254,3270,2.210091743119266
